Код покупателя	Артикул	Количество	Дата
Клиент-23	Арт18	7	28.06.2018
Клиент-85	Арт24	10	18.04.2017
Клиент-31	Арт20	6	23.09.2018
Клиент-171	Арт2	9	15.04.2018
Клиент-107	Арт18	9	25.12.2017
Клиент-154	Арт22	3	19.02.2017
Клиент-106	Арт5	5	02.04.2017
Клиент-39	Арт21	4	07.08.2018
Клиент-42	Арт17	6	10.01.2017
Клиент-175	Арт23	9	10.01.2018
Клиент-21	Арт21	8	22.04.2018
Клиент-101	Арт18	3	08.03.2017
Клиент-184	Арт13	2	08.01.2017
Клиент-45	Арт10	1	15.10.2017
Клиент-172	Арт7	5	15.02.2018
Клиент-63	Арт24	9	24.09.2017
Клиент-156	Арт22	3	02.09.2018
Клиент-46	Арт12	5	04.09.2017
Клиент-12	Арт4	9	17.12.2017
Клиент-104	Арт6	7	25.06.2017
Клиент-179	Арт14	7	13.09.2018
Клиент-82	Арт15	5	18.01.2017
Клиент-171	Арт11	5	03.05.2018
Клиент-77	Арт1	7	29.01.2018
Клиент-185	Арт6	3	14.07.2017
Клиент-49	Арт16	7	03.07.2017
Клиент-71	Арт26	8	07.10.2017
Клиент-82	Арт1	7	26.03.2017
Клиент-124	Арт3	9	19.06.2017
Клиент-40	Арт22	1	28.09.2018
Клиент-185	Арт6	2	04.06.2017
Клиент-141	Арт3	7	01.02.2018
Клиент-132	Арт15	4	02.07.2018
Клиент-111	Арт13	3	03.05.2018
Клиент-28	Арт18	3	10.03.2017
Клиент-43	Арт18	5	21.01.2018
Клиент-30	Арт14	1	07.10.2017
Клиент-81	Арт18	7	19.05.2018
Клиент-132	Арт20	6	22.06.2018
Клиент-133	Арт6	7	03.01.2017
Клиент-106	Арт19	6	06.05.2018
Клиент-64	Арт10	6	03.08.2018
Клиент-34	Арт13	1	16.08.2017
Клиент-36	Арт10	1	26.05.2017
Клиент-2	Арт15	5	27.04.2017
Клиент-28	Арт5	2	12.10.2017
Клиент-107	Арт7	4	30.01.2017
Клиент-192	Арт14	9	23.02.2018
Клиент-181	Арт3	9	05.08.2018
Клиент-86	Арт14	2	05.01.2018
Клиент-141	Арт6	7	22.05.2017
Клиент-46	Арт19	1	22.09.2017
Клиент-31	Арт18	8	22.02.2017
Клиент-97	Арт26	9	19.07.2017
Клиент-185	Арт18	6	01.08.2017
Клиент-109	Арт24	1	24.08.2018
Клиент-87	Арт25	9	16.05.2018
Клиент-59	Арт9	4	12.03.2017
Клиент-93	Арт15	6	05.09.2017
Клиент-45	Арт8	2	27.04.2017
Клиент-34	Арт16	4	01.09.2017
Клиент-200	Арт10	2	22.05.2018
Клиент-184	Арт23	3	06.01.2018
Клиент-46	Арт16	9	12.11.2017
Клиент-120	Арт23	8	05.04.2018
Клиент-88	Арт19	8	18.05.2018
Клиент-172	Арт10	9	19.09.2018
Клиент-170	Арт12	10	30.08.2017
Клиент-186	Арт15	9	01.07.2017
Клиент-34	Арт20	2	12.08.2018
Клиент-80	Арт9	6	13.06.2017
Клиент-170	Арт22	6	16.09.2017
Клиент-65	Арт22	2	11.03.2017
Клиент-160	Арт9	2	03.03.2018
Клиент-30	Арт23	6	25.11.2017
Клиент-68	Арт2	7	04.01.2017
Клиент-146	Арт1	8	18.06.2018
Клиент-150	Арт22	10	10.01.2018
Клиент-146	Арт13	1	24.06.2018
Клиент-145	Арт26	10	24.05.2017
Клиент-161	Арт9	5	18.03.2017
Клиент-176	Арт19	9	05.09.2018
Клиент-176	Арт17	1	12.01.2018
Клиент-50	Арт6	5	05.03.2017
Клиент-189	Арт13	3	21.06.2018
Клиент-191	Арт15	3	26.04.2018
Клиент-118	Арт2	2	15.02.2017
Клиент-7	Арт6	8	28.10.2017
Клиент-131	Арт9	6	24.06.2017
Клиент-88	Арт6	2	09.02.2017
Клиент-121	Арт14	8	14.08.2018
Клиент-174	Арт17	8	02.08.2018
Клиент-74	Арт18	10	22.07.2018
Клиент-200	Арт24	6	17.08.2017
Клиент-193	Арт13	10	14.11.2017
Клиент-44	Арт23	4	21.09.2017
Клиент-198	Арт3	10	14.12.2017
Клиент-91	Арт4	4	06.09.2018
Клиент-124	Арт11	4	16.04.2017
Клиент-194	Арт1	8	26.09.2017
Клиент-84	Арт4	6	01.07.2018
Клиент-37	Арт15	2	05.03.2017
Клиент-60	Арт26	7	27.08.2018
Клиент-47	Арт10	7	09.04.2018
Клиент-187	Арт18	9	19.06.2018
Клиент-68	Арт3	8	07.05.2018
Клиент-85	Арт1	3	13.07.2017
Клиент-191	Арт15	7	11.05.2018
Клиент-165	Арт15	9	18.05.2017
Клиент-48	Арт3	7	07.02.2017
Клиент-165	Арт4	2	21.09.2017
Клиент-175	Арт4	7	30.07.2017
Клиент-9	Арт24	1	17.09.2017
Клиент-141	Арт15	5	12.05.2018
Клиент-39	Арт21	4	08.08.2017
Клиент-190	Арт4	7	01.08.2017
Клиент-138	Арт13	9	15.07.2018
Клиент-15	Арт25	10	02.08.2018
Клиент-42	Арт11	6	13.02.2018
Клиент-105	Арт5	6	28.03.2018
Клиент-186	Арт10	7	22.05.2018
Клиент-171	Арт26	6	21.07.2018
Клиент-38	Арт18	10	13.04.2017
Клиент-176	Арт10	3	11.05.2017
Клиент-28	Арт3	3	06.04.2018
Клиент-132	Арт19	8	28.10.2017
Клиент-101	Арт23	4	14.05.2017
Клиент-8	Арт3	9	26.04.2017
Клиент-79	Арт19	1	11.08.2018
Клиент-99	Арт14	7	21.05.2017
Клиент-82	Арт23	8	13.07.2018
Клиент-8	Арт21	6	17.08.2017
Клиент-169	Арт12	1	08.07.2017
Клиент-106	Арт18	8	11.09.2017
Клиент-14	Арт8	4	11.06.2017
Клиент-106	Арт9	9	22.06.2017
Клиент-113	Арт23	6	25.09.2018
Клиент-92	Арт2	8	19.02.2018
Клиент-48	Арт21	4	25.09.2018
Клиент-183	Арт12	3	15.05.2017
Клиент-167	Арт8	2	25.09.2017
Клиент-14	Арт22	5	26.01.2017
Клиент-84	Арт25	2	22.02.2017
Клиент-173	Арт14	1	01.02.2018
Клиент-98	Арт22	9	26.02.2018
Клиент-186	Арт5	9	07.05.2018
Клиент-112	Арт9	9	13.10.2017
Клиент-25	Арт24	7	22.03.2017
Клиент-64	Арт18	8	19.07.2018
Клиент-62	Арт9	6	03.03.2018
Клиент-51	Арт24	4	15.08.2017
Клиент-116	Арт16	9	08.03.2017
Клиент-51	Арт8	1	16.03.2018
Клиент-111	Арт20	5	29.04.2018
Клиент-133	Арт5	8	11.06.2017
Клиент-135	Арт24	1	30.08.2018
Клиент-13	Арт21	9	14.03.2018
Клиент-178	Арт20	8	17.03.2017
Клиент-17	Арт19	10	05.06.2018
Клиент-169	Арт1	6	25.03.2018
Клиент-157	Арт26	8	22.05.2018
Клиент-106	Арт23	7	29.08.2017
Клиент-52	Арт10	2	22.09.2017
Клиент-175	Арт10	8	17.07.2017
Клиент-116	Арт5	4	08.02.2018
Клиент-80	Арт17	2	13.06.2018
Клиент-55	Арт15	3	12.12.2017
Клиент-98	Арт13	7	16.04.2017
Клиент-177	Арт6	10	17.09.2018
Клиент-25	Арт21	10	01.09.2018
Клиент-140	Арт25	7	12.09.2018
Клиент-69	Арт20	9	25.07.2017
Клиент-189	Арт19	4	20.03.2017
Клиент-3	Арт16	6	10.01.2018
Клиент-54	Арт8	5	04.06.2018
Клиент-169	Арт5	4	22.06.2017
Клиент-41	Арт6	9	14.03.2018
Клиент-115	Арт4	2	10.03.2018
Клиент-39	Арт2	10	13.11.2017
Клиент-55	Арт19	7	12.09.2017
Клиент-147	Арт23	5	07.01.2018
Клиент-71	Арт15	9	31.07.2017
Клиент-180	Арт22	4	13.10.2017
Клиент-87	Арт25	3	07.08.2017
Клиент-101	Арт19	5	18.04.2017
Клиент-162	Арт13	9	09.08.2018
Клиент-101	Арт2	10	23.09.2018
Клиент-47	Арт7	1	05.08.2018
Клиент-81	Арт13	5	27.11.2017
Клиент-63	Арт15	7	27.09.2017
Клиент-150	Арт7	10	07.02.2018
Клиент-84	Арт4	9	23.05.2018
Клиент-105	Арт2	2	11.06.2018
Клиент-192	Арт5	4	17.07.2017
Клиент-43	Арт15	8	22.06.2018
Клиент-77	Арт5	7	12.03.2018
Клиент-62	Арт26	6	12.12.2017
Клиент-81	Арт19	5	14.06.2018
Клиент-64	Арт13	6	05.06.2017
Клиент-78	Арт3	9	15.07.2017
Клиент-33	Арт7	6	23.08.2017
Клиент-184	Арт20	1	26.05.2017
Клиент-30	Арт21	8	15.02.2018
Клиент-172	Арт14	4	27.07.2017
Клиент-91	Арт9	6	22.02.2018
Клиент-158	Арт8	3	23.05.2018
Клиент-96	Арт20	8	27.04.2018
Клиент-28	Арт6	6	07.04.2017
Клиент-55	Арт25	3	22.01.2018
Клиент-16	Арт12	3	16.01.2017
Клиент-60	Арт10	1	18.01.2018
Клиент-109	Арт2	4	27.08.2018
Клиент-18	Арт23	1	27.07.2018
Клиент-162	Арт8	3	30.07.2018
Клиент-101	Арт15	8	17.08.2018
Клиент-190	Арт22	7	04.08.2017
Клиент-128	Арт6	4	13.08.2017
Клиент-130	Арт24	1	27.04.2018
Клиент-112	Арт26	6	17.05.2018
Клиент-187	Арт14	7	10.06.2017
Клиент-90	Арт23	2	25.03.2018
Клиент-25	Арт10	1	13.07.2018
Клиент-173	Арт22	5	17.04.2017
Клиент-47	Арт13	1	18.03.2017
Клиент-200	Арт7	9	14.02.2018
Клиент-128	Арт15	3	30.04.2018
Клиент-196	Арт12	9	26.05.2018
Клиент-91	Арт25	2	27.08.2018
Клиент-65	Арт12	8	26.01.2017
Клиент-70	Арт10	10	17.01.2018
Клиент-121	Арт14	6	04.01.2017
Клиент-37	Арт3	6	18.10.2017
Клиент-101	Арт13	6	09.05.2018
Клиент-143	Арт14	9	09.01.2018
Клиент-159	Арт4	3	17.07.2017
Клиент-74	Арт13	3	16.09.2018
Клиент-72	Арт3	9	09.05.2017
Клиент-31	Арт4	6	03.07.2018
Клиент-43	Арт15	6	03.11.2017
Клиент-26	Арт3	5	21.03.2017
Клиент-88	Арт2	10	22.12.2017
Клиент-13	Арт8	8	04.07.2017
Клиент-24	Арт15	2	25.02.2018
Клиент-30	Арт6	8	08.08.2018
Клиент-77	Арт20	8	07.11.2017
Клиент-15	Арт1	3	09.08.2017
Клиент-88	Арт23	2	09.05.2017
Клиент-123	Арт20	6	09.05.2017
Клиент-149	Арт10	5	21.08.2018
Клиент-35	Арт23	5	20.09.2018
Клиент-12	Арт20	7	04.02.2017
Клиент-11	Арт5	4	13.01.2017
Клиент-21	Арт10	3	16.08.2017
Клиент-54	Арт18	5	14.04.2017
Клиент-48	Арт9	4	02.07.2018
Клиент-82	Арт3	2	11.07.2017
Клиент-127	Арт20	6	06.08.2018
Клиент-117	Арт15	8	13.04.2017
Клиент-158	Арт14	6	28.02.2017
Клиент-118	Арт14	9	28.05.2017
Клиент-97	Арт1	4	30.05.2018
Клиент-182	Арт3	1	05.09.2018
Клиент-191	Арт17	3	13.02.2017
Клиент-145	Арт1	8	11.01.2017
Клиент-118	Арт18	7	02.06.2017
Клиент-89	Арт7	4	21.01.2018
Клиент-73	Арт19	3	28.03.2017
Клиент-87	Арт24	5	22.10.2017
Клиент-34	Арт22	6	18.04.2017
Клиент-83	Арт7	3	18.12.2017
Клиент-115	Арт24	10	22.02.2018
Клиент-79	Арт11	7	25.09.2017
Клиент-150	Арт8	9	04.02.2017
Клиент-128	Арт14	2	17.08.2017
Клиент-21	Арт4	2	02.08.2018
Клиент-63	Арт17	8	07.02.2017
Клиент-173	Арт21	6	15.03.2018
Клиент-159	Арт18	4	19.06.2018
Клиент-151	Арт1	1	18.08.2018
Клиент-58	Арт17	7	10.05.2018
Клиент-67	Арт15	9	28.02.2018
Клиент-153	Арт23	6	27.09.2017
Клиент-109	Арт23	7	14.01.2018
Клиент-19	Арт19	8	29.10.2017
Клиент-101	Арт17	8	12.11.2017
Клиент-85	Арт25	2	19.08.2017
Клиент-62	Арт3	9	01.08.2017
Клиент-182	Арт10	4	19.03.2017
Клиент-5	Арт22	10	17.06.2017
Клиент-132	Арт16	4	10.09.2018
Клиент-187	Арт19	6	14.07.2017
Клиент-3	Арт24	4	21.08.2017
Клиент-45	Арт9	3	10.09.2018
Клиент-137	Арт9	8	09.08.2017
Клиент-27	Арт25	4	17.05.2017
Клиент-70	Арт26	7	14.04.2017
Клиент-52	Арт6	1	20.06.2017
Клиент-18	Арт10	5	27.09.2017
Клиент-12	Арт4	2	14.12.2017
Клиент-93	Арт14	2	18.08.2018
Клиент-16	Арт26	4	28.08.2018
Клиент-141	Арт19	5	17.06.2017
Клиент-22	Арт12	8	18.11.2017
Клиент-83	Арт19	5	29.04.2017
Клиент-184	Арт25	6	02.08.2017
Клиент-183	Арт2	9	22.03.2018
Клиент-90	Арт12	7	23.05.2017
Клиент-94	Арт16	9	27.06.2017
Клиент-62	Арт8	7	01.02.2017
Клиент-177	Арт26	5	10.10.2017
Клиент-103	Арт20	3	30.06.2017
Клиент-19	Арт2	9	22.06.2018
Клиент-36	Арт19	5	17.01.2018
Клиент-83	Арт17	4	16.09.2018
Клиент-96	Арт1	7	11.08.2017
Клиент-187	Арт10	9	13.04.2017
Клиент-158	Арт17	6	01.01.2017
Клиент-19	Арт21	6	20.05.2017
Клиент-33	Арт16	7	19.07.2018
Клиент-106	Арт21	3	04.03.2018
Клиент-30	Арт2	3	04.09.2018
Клиент-24	Арт17	4	04.03.2018
Клиент-187	Арт19	6	31.10.2017
Клиент-33	Арт4	6	13.01.2017
Клиент-128	Арт10	5	18.04.2018
Клиент-16	Арт10	4	08.04.2018
Клиент-189	Арт12	6	15.04.2018
Клиент-23	Арт25	7	12.01.2018
Клиент-145	Арт21	7	18.12.2017
Клиент-111	Арт19	10	21.06.2018
Клиент-98	Арт19	10	15.10.2017
Клиент-150	Арт1	4	17.06.2018
Клиент-111	Арт4	9	13.06.2018
Клиент-47	Арт17	6	27.04.2018
Клиент-147	Арт3	6	01.07.2018
Клиент-190	Арт10	3	24.09.2018
Клиент-67	Арт5	8	05.11.2017
Клиент-2	Арт25	9	13.05.2018
Клиент-134	Арт18	5	10.10.2017
Клиент-125	Арт10	9	15.01.2017
Клиент-22	Арт8	6	21.03.2018
Клиент-81	Арт8	1	07.07.2017
Клиент-151	Арт7	2	21.09.2017
Клиент-136	Арт14	1	20.04.2018
Клиент-71	Арт6	8	23.06.2017
Клиент-33	Арт25	10	03.09.2017
Клиент-83	Арт2	3	26.09.2017
Клиент-64	Арт14	5	08.11.2017
Клиент-41	Арт24	8	04.03.2017
Клиент-44	Арт6	5	03.01.2018
Клиент-69	Арт26	5	17.09.2018
Клиент-158	Арт1	4	06.02.2017
Клиент-32	Арт23	2	09.07.2017
Клиент-82	Арт3	4	28.03.2018
Клиент-97	Арт12	3	12.01.2017
Клиент-128	Арт18	6	22.09.2017
Клиент-71	Арт16	8	21.11.2017
Клиент-139	Арт6	7	05.01.2018
Клиент-81	Арт21	3	01.06.2018
Клиент-177	Арт2	4	31.03.2018
Клиент-40	Арт10	3	18.09.2018
Клиент-52	Арт25	2	20.03.2018
Клиент-192	Арт6	2	13.12.2017
Клиент-6	Арт17	2	15.03.2017
Клиент-106	Арт24	6	14.07.2018
Клиент-105	Арт15	10	02.03.2017
Клиент-19	Арт9	3	20.02.2018
Клиент-82	Арт4	8	14.06.2018
Клиент-189	Арт24	3	19.05.2017
Клиент-160	Арт22	8	25.07.2018
Клиент-117	Арт14	2	16.08.2017
Клиент-198	Арт11	7	01.05.2018
Клиент-181	Арт15	10	31.05.2017
Клиент-153	Арт8	2	29.07.2018
Клиент-138	Арт13	9	09.06.2018
Клиент-132	Арт2	5	13.09.2018
Клиент-120	Арт10	7	28.01.2017
Клиент-192	Арт22	8	26.05.2018
Клиент-142	Арт4	7	30.04.2017
Клиент-27	Арт11	10	01.03.2017
Клиент-130	Арт18	2	11.08.2018
Клиент-6	Арт11	7	09.01.2018
Клиент-119	Арт4	5	26.11.2017
Клиент-9	Арт8	1	27.03.2017
Клиент-21	Арт19	6	31.01.2017
Клиент-79	Арт13	9	12.05.2018
Клиент-52	Арт26	5	23.06.2018
Клиент-137	Арт1	1	10.05.2018
Клиент-116	Арт24	5	29.07.2018
Клиент-21	Арт16	6	12.05.2017
Клиент-103	Арт10	7	16.01.2017
Клиент-42	Арт20	5	24.01.2017
Клиент-104	Арт17	10	13.04.2017
Клиент-66	Арт7	4	01.01.2017
Клиент-148	Арт19	7	31.07.2018
Клиент-119	Арт3	2	15.05.2018
Клиент-92	Арт19	8	17.03.2017
Клиент-167	Арт19	4	18.03.2017
Клиент-39	Арт3	6	04.01.2018
Клиент-195	Арт26	5	22.10.2017
Клиент-5	Арт21	5	08.01.2017
Клиент-93	Арт17	7	13.12.2017
Клиент-185	Арт15	5	15.01.2017
Клиент-95	Арт14	6	18.05.2017
Клиент-14	Арт9	3	19.07.2017
Клиент-110	Арт9	5	17.02.2017
Клиент-133	Арт13	7	23.12.2017
Клиент-139	Арт7	2	27.06.2017
Клиент-134	Арт22	2	22.05.2017
Клиент-94	Арт9	10	22.08.2017
Клиент-131	Арт16	3	05.10.2017
Клиент-63	Арт12	5	08.05.2018
Клиент-26	Арт22	5	09.01.2017
Клиент-177	Арт10	3	07.05.2017
Клиент-31	Арт9	10	01.06.2018
Клиент-152	Арт10	4	21.04.2017
Клиент-174	Арт19	3	24.09.2017
Клиент-177	Арт2	4	26.07.2018
Клиент-62	Арт9	9	12.05.2017
Клиент-176	Арт19	8	15.10.2017
Клиент-191	Арт2	8	17.07.2018
Клиент-23	Арт7	1	26.10.2017
Клиент-140	Арт3	3	10.04.2017
Клиент-138	Арт6	10	20.05.2018
Клиент-120	Арт22	6	14.07.2017
Клиент-137	Арт18	1	04.09.2017
Клиент-188	Арт14	3	26.03.2018
Клиент-177	Арт14	8	21.09.2018
Клиент-21	Арт12	4	26.08.2017
Клиент-90	Арт8	10	10.08.2017
Клиент-15	Арт19	6	24.02.2017
Клиент-38	Арт13	3	08.06.2017
Клиент-23	Арт1	5	16.08.2018
Клиент-54	Арт19	2	10.01.2017
Клиент-171	Арт14	7	25.03.2017
Клиент-76	Арт7	3	26.01.2017
Клиент-27	Арт8	2	25.02.2018
Клиент-122	Арт25	9	20.06.2017
Клиент-156	Арт3	2	12.09.2017
Клиент-89	Арт21	4	24.08.2017
Клиент-18	Арт15	3	27.10.2017
Клиент-150	Арт25	5	22.06.2017
Клиент-62	Арт25	8	10.09.2017
Клиент-149	Арт17	1	24.05.2018
Клиент-97	Арт1	10	15.07.2017
Клиент-5	Арт20	1	28.03.2017
Клиент-189	Арт14	1	11.04.2017
Клиент-149	Арт25	4	29.01.2017
Клиент-124	Арт24	7	25.01.2018
Клиент-105	Арт12	6	26.03.2017
Клиент-109	Арт7	5	12.03.2018
Клиент-89	Арт1	1	10.05.2017
Клиент-58	Арт19	1	20.03.2018
Клиент-77	Арт10	9	02.03.2018
Клиент-32	Арт1	8	26.08.2017
Клиент-181	Арт9	2	11.12.2017
Клиент-192	Арт14	6	18.07.2017
Клиент-127	Арт23	10	21.03.2017
Клиент-104	Арт15	2	23.09.2018
Клиент-131	Арт12	6	25.06.2018
Клиент-176	Арт14	5	08.01.2017
Клиент-131	Арт7	2	27.02.2018
Клиент-124	Арт22	1	05.09.2018
Клиент-80	Арт16	1	04.02.2018
Клиент-122	Арт1	1	20.09.2018
Клиент-10	Арт10	9	07.04.2017
Клиент-32	Арт4	4	03.01.2017
Клиент-67	Арт26	5	02.08.2017
Клиент-94	Арт3	10	12.10.2017
Клиент-107	Арт16	4	13.01.2018
Клиент-198	Арт1	7	08.06.2018
Клиент-14	Арт20	7	07.04.2018
Клиент-55	Арт15	10	12.06.2018
Клиент-166	Арт9	1	04.05.2017
Клиент-50	Арт10	5	10.04.2017
Клиент-63	Арт20	10	16.09.2018
Клиент-191	Арт16	2	21.08.2017
Клиент-158	Арт12	8	18.06.2017
Клиент-122	Арт12	5	06.01.2017
Клиент-65	Арт19	3	14.09.2018
Клиент-14	Арт22	3	11.06.2018
Клиент-195	Арт17	4	21.08.2017
Клиент-28	Арт26	9	04.06.2018
Клиент-24	Арт8	2	07.04.2017
Клиент-170	Арт12	10	13.05.2017
Клиент-173	Арт18	7	21.11.2017
Клиент-132	Арт22	6	10.04.2017
Клиент-104	Арт16	10	30.01.2018
Клиент-185	Арт12	6	10.08.2018
Клиент-178	Арт21	2	22.05.2017
Клиент-149	Арт26	6	29.05.2017
Клиент-22	Арт14	2	02.02.2018
Клиент-164	Арт25	10	23.12.2017
Клиент-55	Арт12	2	28.02.2018
Клиент-120	Арт19	8	26.01.2017
Клиент-162	Арт7	7	26.01.2017
Клиент-172	Арт14	2	28.04.2018
Клиент-110	Арт16	5	14.02.2018
Клиент-138	Арт25	5	03.10.2017
Клиент-60	Арт14	9	21.03.2017
Клиент-140	Арт21	6	16.03.2018
Клиент-152	Арт10	8	17.02.2017
Клиент-133	Арт19	3	04.03.2017
Клиент-53	Арт8	6	18.08.2018
Клиент-104	Арт12	3	19.06.2018
Клиент-78	Арт1	7	08.07.2018
Клиент-16	Арт24	4	10.02.2018
Клиент-8	Арт8	6	21.08.2018
Клиент-72	Арт6	9	16.07.2017
Клиент-146	Арт5	7	23.09.2018
Клиент-154	Арт26	5	13.06.2017
Клиент-60	Арт13	9	25.01.2018
Клиент-94	Арт6	3	16.03.2017
Клиент-18	Арт2	8	27.05.2017
Клиент-140	Арт5	5	05.01.2018
Клиент-36	Арт23	8	07.01.2018
Клиент-189	Арт7	2	10.06.2018
Клиент-144	Арт10	5	01.07.2017
Клиент-108	Арт25	7	28.08.2018
Клиент-2	Арт19	7	16.08.2017
Клиент-96	Арт24	3	03.03.2018
Клиент-62	Арт6	9	06.07.2018
Клиент-29	Арт4	6	16.07.2018
Клиент-154	Арт9	2	20.05.2018
Клиент-96	Арт11	9	04.03.2018
Клиент-188	Арт13	8	25.01.2018
Клиент-129	Арт10	1	29.04.2018
Клиент-64	Арт23	10	11.11.2017
Клиент-60	Арт14	8	09.07.2017
Клиент-168	Арт24	4	30.10.2017
Клиент-197	Арт15	7	24.08.2018
Клиент-130	Арт4	1	10.04.2018
Клиент-105	Арт17	2	08.01.2018
Клиент-110	Арт9	4	15.09.2018
Клиент-172	Арт24	2	02.09.2018
Клиент-57	Арт20	4	17.09.2018
Клиент-170	Арт8	9	18.06.2017
Клиент-36	Арт10	8	20.09.2018
Клиент-130	Арт15	1	01.12.2017
Клиент-127	Арт9	9	14.01.2017
Клиент-184	Арт17	8	05.01.2017
Клиент-7	Арт14	1	23.10.2017
Клиент-161	Арт15	9	21.08.2018
Клиент-30	Арт19	9	15.10.2017
Клиент-142	Арт8	6	19.03.2018
Клиент-109	Арт25	9	30.09.2017
Клиент-118	Арт24	9	03.03.2017
Клиент-5	Арт25	3	03.04.2017
Клиент-157	Арт7	10	11.03.2017
Клиент-169	Арт10	5	15.02.2018
Клиент-150	Арт17	2	16.03.2018
Клиент-161	Арт15	9	14.04.2017
Клиент-152	Арт22	3	25.02.2018
Клиент-126	Арт22	2	08.06.2017
Клиент-93	Арт25	5	08.12.2017
Клиент-15	Арт17	10	24.04.2018
Клиент-85	Арт26	2	14.03.2017
Клиент-137	Арт25	2	18.01.2017
Клиент-33	Арт14	5	16.01.2017
Клиент-139	Арт24	4	10.05.2018
Клиент-23	Арт6	2	31.12.2017
Клиент-130	Арт4	9	09.05.2018
Клиент-93	Арт6	9	23.03.2017
Клиент-157	Арт20	7	03.07.2017
Клиент-16	Арт21	1	27.02.2017
Клиент-141	Арт1	2	05.02.2018
Клиент-70	Арт5	8	02.06.2017
Клиент-58	Арт2	8	01.09.2017
Клиент-161	Арт4	10	10.03.2018
Клиент-117	Арт20	7	07.10.2017
Клиент-163	Арт15	3	30.04.2018
Клиент-152	Арт17	9	29.04.2018
Клиент-52	Арт20	10	21.05.2017
Клиент-3	Арт1	7	01.09.2017
Клиент-64	Арт2	10	14.06.2018
Клиент-94	Арт18	6	02.07.2018
Клиент-177	Арт19	2	03.06.2017
Клиент-165	Арт19	6	28.09.2018
Клиент-124	Арт13	7	08.04.2018
Клиент-151	Арт6	5	11.08.2017
Клиент-40	Арт17	6	23.03.2018
Клиент-24	Арт21	1	11.12.2017
Клиент-198	Арт12	1	08.04.2017
Клиент-187	Арт8	9	28.09.2018
Клиент-26	Арт11	4	24.03.2018
Клиент-105	Арт7	5	12.02.2018
Клиент-15	Арт26	6	21.02.2018
Клиент-24	Арт19	9	18.09.2018
Клиент-126	Арт7	9	15.07.2018
Клиент-23	Арт24	3	13.03.2017
Клиент-27	Арт5	3	09.12.2017
Клиент-59	Арт15	5	27.01.2018
Клиент-75	Арт18	4	09.06.2017
Клиент-171	Арт7	7	25.05.2018
Клиент-78	Арт1	8	24.07.2018
Клиент-175	Арт2	8	21.10.2017
Клиент-172	Арт17	10	05.02.2018
Клиент-47	Арт25	8	31.01.2018
Клиент-22	Арт18	8	22.10.2017
Клиент-90	Арт12	9	24.05.2018
Клиент-15	Арт20	8	29.09.2018
Клиент-129	Арт8	1	15.03.2018
Клиент-122	Арт15	7	24.08.2017
Клиент-154	Арт14	10	22.07.2018
Клиент-17	Арт20	4	20.04.2017
Клиент-122	Арт2	4	12.03.2017
Клиент-18	Арт20	1	22.09.2017
Клиент-102	Арт18	9	14.09.2017
Клиент-135	Арт12	1	04.01.2018
Клиент-121	Арт20	7	13.01.2018
Клиент-162	Арт23	1	04.08.2017
Клиент-181	Арт20	10	24.12.2017
Клиент-110	Арт8	6	02.02.2018
Клиент-158	Арт2	3	19.04.2018
Клиент-170	Арт10	3	25.05.2018
